source_row,key,modelo,descripcion,stock,tienda,bodega,location_sum,inventario_fisico_final,cantidad_a_importar,costo_unitario_pesos,costo_unitario_dolares,total_costo_unitario_pesos,fecha_adq,vigencia,matched_sources
451,8720.1571,8720.1571,"Kit de reequipamiento, tornillo, pasador recto RATIONAL",1.0,1.0,0.0,1.0,1.0,1.0,626.52,0,626.52,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
452,5017541,5017541,Kit de servicio de encendido ALTO-SHAAM,1.0,1.0,0.0,1.0,1.0,1.0,4900.0,0,4900.0,,Vigencia de precio,inventory/data/products-all.csv
453,8184652,8184652,Magnetron para horno,4.0,4.0,0.0,4.0,4.0,4.0,800.0,0,800.0,,Act Nov 2025,inventory/data/products-all.csv
454,11-0404-RP,11-0404-RP,Mando de control (perilla) EVO,2.0,0.0,0.0,0.0,0.0,0.0,813.0,0,813.0,,Vigencia de precio,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
455,70100801619L,70100801619L,Micro switch para horno DRAGO 21A 250V,1.0,1.0,0.0,1.0,1.0,1.0,101.25,0,101.25,,,inventory/data/products-all.csv
456,NIPLECAMISA-1/4,NIPLECAMISA-1/4,Niple camisa 1/4,3.0,3.0,0.0,3.0,3.0,3.0,123.87,0,123.87,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
470,PER-TRIAN-FERRO,PER-TRIAN-FERRO,Perilla Ferro triangular FERRO,5.0,2.0,0.0,2.0,2.0,2.0,65.3,0,65.3,,Act Nov 2025,inventory/data/products-all.csv
478,PER-60250,PER-60250,Perilla Negra 60-250 C,10.0,10.0,0.0,10.0,10.0,10.0,152.0,0,152.0,,Act Nov 2025,inventory/data/products-all.csv
479,PER-UNIV-N,PER-UNIV-N,Perilla negra s/n,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0,145.0,,Act Nov 2025,inventory/data/products-all.csv
480,PER-UNIV-R,PER-UNIV-R,Perilla para estufa roja,3.0,3.0,0.0,3.0,3.0,3.0,190.0,0,190.0,,Vigencia de precio,inventory/data/products-all.csv
481,PERILLAESTUFASANSON,PERILLAESTUFASANSON,Perilla para estufa SANSON,1.0,1.0,0.0,1.0,1.0,1.0,100.0,0,100.0,,Vigencia de precio,inventory/data/products-all.csv
482,PER-200400,PER-200400,Perilla para freidora 200-400C,1.0,1.0,0.0,1.0,1.0,1.0,190.0,0,190.0,,Act Nov 2025,inventory/data/products-all.csv
483,PER-30-120,PER-30-120,Perilla para termostato 30-120,1.0,1.0,0.0,1.0,1.0,1.0,180.0,0,180.0,,Act Nov 2025,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
484,PERILLASANSON,PERILLASANSON,Perilla para termostato horno SANSON,1.0,1.0,0.0,1.0,1.0,1.0,100.0,0,100.0,,Vigencia de precio,inventory/data/products-all.csv
486,1291,1291,Piloto para horno IMPERIAL,0.0,0.0,0.0,0.0,0.0,0.0,1085.58,0,1085.58,2025-05-02T00:00:00,,inventory/data/products-all.csv
487,PILOTOHONGOSANSON,PILOTOHONGOSANSON,Piloto tipo hongo con opresor SANSON,4.0,4.0,0.0,4.0,4.0,4.0,60.0,0,60.0,,Vigencia de precio,inventory/data/products-all.csv
488,1542800,1542800,"Quemador de salamandra Infrarrojos, 38,1 x 20,32 cm GARLAND",1.0,1.0,0.0,1.0,1.0,1.0,6500.0,0,6500.0,,Act Nov 2025,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
